index,document
"‘A young married woman of 21 had an abortion done at the third","‘A young married woman of 21 had an abortion done at the third
month. Immediately following this she began to vomit occasionally,
and after two days could retain nothing. The lochia were sweet, temperature normal, and there was no tenderness in the pelvis. Rectal
alimentation was tried for three days and the vomiting ceased, but
recommenced as soon as liquids were given by mouth. Again rectal
feeding wastried, but this time the vomiting did not cease. The nutrient
enemata are fairly well borne, the nurse says, but the patient is very
sleepless and thirsty and has four or five severe retching spells in every
twenty-four hours. She is seen in consultation on the sixth day of
rectal feeding.
‘The temperature and pulse are normal, as they have been through-
‘out; the voice clear and the patient moves strongly in bed. Examination of the chest, belly, and pelvis are entirely negative.
1. How can we determine during rectal feeding whether the enemata are being
well borne and absorbed? In ideal cases, there is no thirst or insomnia
‘hunger is appeased by the enema, nothing comes away except with the daily
cleansing enema, and little weight is lost.
2. What means should be usedto control the retching in this ease? (See below —
‘Treatment.)
3. What important parts of why
and blood examination.
4. Significance of the normal pulse and temperature here? Prostration is not
great; infection probably absent.
5. Diagnosis? Prognosis? ‘Treatment?
Diagnosis: Pelvic sepsis is excluded by the normal lochia, the absence of fever,
pain or pelvic tenderness. Retroversion of the uterus is said to produce
vomiting in some cases of this type, but the pelvic examination excludes this.
Can the vomiting be uraemic? To determine this, we examinedthe urine
and found it normal. (The blood was also normal.) ‘The rectal feeding was
evidently a failure despite the nurse’s assurance, and the patient's nervous
system was kept irritable by semi-starvation. Could this account for the
vomiting? In view of the negative results of physical examination it seems
the most probable diagnosis. Had the enemata been well absorbed the nervous system would probably have been sufficiently nourished to control the
vomiting centre. As it is, she is getting no food and losing much sleep. Naturally the vomiting continues.
Prognosis: If this diagnosis is correct, the resumption of feeding by mouth and
the abandonment of rectal feeding will probably check the vomiting in a few
days.
‘Treatment: The ordinary remedies for vomiting
— ice, cocaine, serum oxalate,
hydrocyanic acid, morphia, and rectal feeding —had already proved failures.
Under a resumption of feeding by mouth, together with the discontinuance
of the source of insomnia and irritation (the enemata), and with effectual
encouragement, the vomiting ceased within a few days and the patient's
recovery was uneventful. ‘The diagnosis was thus verified.
examination have been omitted? Urinalysis"
"Man, 66 years old, has had for fifteen months pain; for the first","Man, 66 years old, has had for fifteen months pain; for the first
month it was referred to the right hip and buttock. Later, it was felt
in the small of the back and in both scapular regions; for six months,
pain has been felt in the other hip and occasionally in both legs.
For a month he has had considerable cough, with sputum, occasionally blood-streaked. He has always been finicky about his food, but
complained of no special digestive disturbance, except loss of appetite
and constipation, which have been continuous and accompanied by
loss of flesh. He was previously very fat. For several weeks he has
been in bed. Of late has had several attacks of retention of urine,
needing catherization.
Examination: Spare, but by no means emaciated; marcus senilis
marked. Heart negative, so also the lungs except for scattered
patches of rales in both backs and in the right axilla. Abdomen
negative. Knee-jerks normal; no tenderness or loss of sensation.
Spine straight and not tender.
Urine 1016, alkaline, trace of albumen, considerable pus and squamous cells. Blood: Red cells 3,810,000; white cells 17,000; haemoglobin
55%. In the stained specimen polynuclear leukocytes were abnormally
increased and three normoblasts were seen during a differential count
of 500 leukocytes. Temperature 99, pulse 90, respiration 22.
1. What is the significance of the temperature in this case? If it continues at or
below that point, infections (eg., phthisis or sepsis) are very unlikely.
2. What all-important diagnostic data are here lacking? Pupillary reactions,
sputum examination, the twenty-four hour amount of urine.
3. Ifthe knee-jerks had been absent, what other disease should be considered?
‘Tabes dorsalis.
How are the lung signs to be interpreted? Localized bronchitis or oedema.
What further knowledge do we wish regarding the spine? Is it everywhere
normally flexible?
6. Diagnosis? Prognosis? Treatment?
Diagnosis: The spine was found to be stiff in the lumbar region and spondylitis
was considered. But the loss of appetite, the anaemia, and the leucocytosis
pointed to something less purely local in its effects. Sputum examination,
four times repeated, was negative and practically excluded phthisis. Abdominal aneurysm would account for some of the pains, but should produce
a palpable tutor. The pains are such as would be produced by pressure
on the spinal nerve roots. Malignant disease of the prevertebral glands
would explain the pains, the anaemia, and the loss of appetite. Autopsy confirmed this diagnosis and showed in addition numerous metastases in each
Tung
— accounting for the pulmonary signs and symptoms. Hypertrophied
prostate with slight cystitis explained the bladder symptoms.
Prognosis: Death in the course of a year.
‘Treatment: Purely symptomatic. A plaster jacket might relieve some of the
pain by immobilizing the spine."
"A girl of 19 is seen May 26. Her maternal grandfather died of","A girl of 19 is seen May 26. Her maternal grandfather died of
phthisis. Family history otherwise good. She has always been rather
pale and delicate, but had no definite or serious illness. Toward the
end of February she consulted her physician for slight swelling of the
glands on the left side of the neck. The temperature was slightly
elevated when taken after this, and during the next two weeks the
glands increased considerably in size and she had some cough, apparently due to bronchitis. Toward the end of March she began to improve and the glandular swelling to subside. The appetite increased
and she got out. Two weeks ago she was less well; fever returned to a
moderate degree, as did cough, and slight crepitus was heard under
both clavicle. One week ago, the day being mild, she sat on the doorstep and experienced a sudden pain at the root of the nose, just between
the eyes. ‘This pain extended over the forehead, increased in intensity
and was relieved more by cold than by hot applications. Four days
ago without obvious cause she vomited once. The next day she vomited again and the headache became intense. For the past forty-eight
hours she has retained nothing on her stomach. To-day, there was
slight hiccough after vomiting and the menses appeared, the first time
for three months. Morphia by the mouth gave her no relief. In the
last twelve hours she has had three suppositories containing a quarter
of a grain of morphia each, with only partial relief to her headache.
Before the morphia was begun the pupils were large, equal, and reacted
equally to light. Her aunt states that the pupils have always been
large. ‘They are now moderately contracted, equal, and respond normally. Photophobia. The pulse has ranged 90 to 100. Temperature 99° this morning, 100° last night.
‘The pulse is now 60 to 100, changing its rate quickly and frequently.
Respiration easy. ‘The mind seems clear, but she is very disinclined
to talk or make any effort.
‘The glands in the right side of the neck are slightly enlarged. The
heart is negative. No rales are detected over the fronts. The backs
are not examined as it does not seem wise to disturb her to that extent.
‘Abdominal examination gives negative results. The reflexes, superficial and deep, are not obtained. Urine negative. Neither the sputum
nor the blood have been examined. There is no paralysis.
1. What can be inferred from the effect of the morphia here? That the headache
was of an intensity rarely if ever seen except in organic brain disease.
2. Significance of the way the headache came on? The circumstances probably
had nothing to do with it. The suddenness of onset is not characteristic
of
any single disease.

180 CASE 70—Continued
8. In what diseases do the pupils give the most important information? Tabes
dorsalis, general paralysis, old iritis, morphia poisoning, aneurysm of the
aorta.
‘What cervical tutors are commonest? Adenitis (tuberculous or septic), Hodgins disease, leuesemia, cervical rib, bronchial cysts, cancer, and sarcoma,
5. What help could be gained by examination of the blood and sputa in this ease?
‘Normal blood would speak against meningitis, though in some tuberculous
‘eases leucocytosis is absent. ‘The presence or absence of malarial parasites is
important, as malaria may cause marked cerebral symptoms. If the Widal
reaction were absent and no basophilic stippling of the corpuscles present,
we should have evidence against typhoid and against lead encephalopathy
respectively. Sputum examination would help to settle the question of tuberculosis.
6. What other examinations should be made? Spinal puncture, Kernig’s sign,
Babinski’s reaction, retinal examination.
7. Diagnosis? Prognosis? Treatment?
Diagnosis: The intensity of headache with photophobia and vomiting point
to organic brain disease. ‘The onset is more sudden than in most brain diseases, except meningitis. The family history of phthisis, the recent cervical
adenitis, and apical bronchitis with fever suggest tuberculous meningitis.
Lumbar puncture and retinal examination would settle it.
All the symptoms here mentioned have occurred in brain tutor or abscess,
but in most cases of these diseases, focal symptoms are present (paralysis,
hhasia, Jacksonian epilepsy, local paresthesia, astereognosis) and the onset
is slower. In malaria there is almost invariably more pyrexia, and in lead
encephalopathy there are usually convulsions and evidences of lead in other
organs.
Meningismus at the onset of some infectious disease (typhoid, pneumonia) is
unlikely. on account of the severity of the headache, the moderate tempera~
sure, and the absence of positive evidence of any such infection. ‘Tuberculous
meningitis — that is, acute general tuberculosis with predominance of meningeal symptoms —seems the most probable diagnosis.
Prognosis: Recovery is barely possible, perhaps once in one thousand cases.
Deathwill probably occur within two weeks.
‘Treatment: Lumbar puncture sometimes relieves headache as well as helps
diagnosis. (What would be found?) Otherwise the prevention of bed-sores,
the alleviation of symptoms, and the support of the patient’s strength is
all we have to work for."
"A coachman of 45, of a very neurotic family, has had dyspepsia for","A coachman of 45, of a very neurotic family, has had dyspepsia for
fifteen years. Any worry or excitement brings on distress and sour
eructations. Three years ago had “spinal meningitis”; sine then
never well in mind or body. Forgetful and bewildered up to the last
two months, when he became much clearer and has since devoted himself to his health. Two spots, one over the left kidney and one on the
top of his skull, feel hot to him. Also numbness onthe left leg, less
noticed when he is busy. Left hand always colder than the right.
Since the fever three years ago his dyspepsia has been worse. Almost
any food distresses him after a time. More than one half a cupful of
any liquid causes vomiting, and despite care he vomits very frequently.
No blood or brown stuff in vomits, which consists of food and slime.
Pain and tenderness in the epigastrium are almost incessant. Appetite excellent, bowels always costive, sleeps poorly.
Examination: Rather thin, good color, tongue protruded very far.
In epigastrium, a resistance uneven, soft and doughy in feel, dull on
percussion and very tender. The lower border of it is well defined,
especially on the left. At times, movements, apparently peristaltic,
can be felt there. Visceral examination is otherwise negative
‘The stomach tube was passed and abundant free hydrochloride acid
found, but the ingestion of over 6 ounces of liquid caused the patient
great pain, which lasted for two hours after the tube was removed.
‘The patient’ was constantly expectorating saliva, and stated that
milk always poisoned him, and that the only food that agreed with him
is wild game. A partridge was procured for him, but he had a bad
night after it, because, as he said, he tasted some of the shot with
which the partridge had been killed. He remained in the hospital from
November 1 to November 11, 1892, and then left unimproved.
Prognosis? Treatment?
‘The first paragraph and the last two point strongly to a gastric
neurosis, and this diagnosis still stands on the hospital record book to-day.
Against this, however, are the small capacity of the stomach (six ounces causes
great pain and often vomiting), the peristaltic movements in the epigastrium,
and the other physical signs at that point. A contracted stomach with pyloric
obstruction and abundant free HCI is a very unusual combination, but to
that the signs point. At autopsy (three months later) exactly this combination was found. The gastric wall was from one half to three quarters
of an inch thick, the capacity about seven ounces, the scar of a large ulcer
near the pylorus and great thickening and stenosis of the latter. ‘The case
is very important because both neurasthenia and organic disease were present,
and the neurasthenia aspects altogether blinded us to the rest.
Prognosis and Treatment: An operation should of course have been done, and
with this the patient might well have recovered within a few months."
"‘A single man, 37, in business, six feet two inches tall, weighing 246,","‘A single man, 37, in business, six feet two inches tall, weighing 246,
states thatseveral membersofhis family have had heartdisease, one
dying suddenly. He is seen March 3, 1903. He denies lues, but has
had five or six attacks of clap, the last three months ago. Coitus is not
very frequent. He drank freely until three years ago when he had
phlebitis in the left leg. At this time he weighed 200, was treated at
Aix-les-Bains, lost 30 Ibs., and felt better for it. Sinte then he has
takenthreeor four whiskies
a day. Ayearago he wasundermedical
care for a short time with indefinite symptoms, the pulse never rising
above 100. Last summer he played 27 holes at golf without inconvenience. In October, 1902, he had business worries which kept him
awake more or less for several weeks, and during this time he drank
more freely again. He takes no regular exercise; is fat, flabby, and
colourless.
Four days ago he called in his physician for vague discomfort in the
upper abdomen and irregular bowels. The heart’s action was then
regular in force and rhythm, varying in rate from 160-180, only countable with the stethoscope over the apex. He sleeps with only one pillow,
on either side, and has not been directly conscious of his heart, even on
such exertion as is incidental to his life. In spite of absolute rest for
four days, the heart continues rapid. Temperature normal; urine
negative. He wishes to get up and attend to business. He does not
seem, and says he does not feel, nervous. The appetite and digestion
are good enough; the tongue clean, the gums healthy. The heart-beats
are quite regular, 160 per minute, counted with the stethoscope, and
the rate does not vary whether he sits, stands, or lies down. The
cardiac impulse is visible and palpable only when he lies on his left side;
it can then be localized about an inch to the left of the nipple, in the
fifth space. Percussion yields somewhat unsatisfactory results on
account of the thickness of the chest wall, but dullness seems to extend
slightly beyond the nipple as he lies on his back. The sounds are clear,
save in the left lateral decubitus; in that position, a slight systolic
murmur is audible at the apex. The lungs and abdomen are negative. The superficial reflexes are absent; the knee-jerks slight. There
is no tremor. There is slight enema of the legs and a corded vein (?)
can be felt in the left calf. He wears Boston garters.
1 What form of alcoholic drink has most often a demonstrable andpermanent
effect upon the heart? Beer. A hypertrophy and subsequent dilatation often
occurs. Whiskey usually produces only temporary weakness.
2 What inference is suggested by the absence of arrhythmia in this case? Myocardial degeneration usually produces arrhythmia. Any disturbance of car

186 CASE 72—Continued
disc function with arrhythmia is more serious than a similar disturbance
without
3. Among the methods of examination not yet employed in this case, which are
likely and which unlikely to yield valuable information? We should ascertain whether the eyes are prominent or the thyroid are enlarged. ‘These
data will help to decide for or against one cause of tachycardia
—namely,
Graves’ disease. The urine should be examined. If it showed the evidences
of chronic nephritis the heart symptoms might be thus explainable. It
would be valuable to know how his heart reacts to exertion. Organic heart
weakness is usually increased by slight exertion, while ‘functional’ weakness is often lessened. If the “clap” is healed, involvement of the heart in
is infection becomes unlikely. Blood-pressure measurements, if normal,
would be reassuring. If he uses tobacco to excess the symptoms may be
due to this cause. Blood examination would probably no important
information.
4. Has the venereal history any relation to the present symptoms? Probably not.
Gonorthoeal endocarditis or myocarditis produce fever and more definite
evidences of valvular deformity; further, his gonorrhcra is apparently healed.
5. Causes and types of tachycardia? Any physical or emotional activity, many
infectious diseases and toxic states, cardiac weakness and dilatation from
any cause, Graves’ disease, “paroxysmal tachycardia.”
6. Dingnosis? Prognosis? ‘Treatment?
Diagnosis: There was no exophthalmos or goitre; the urine was normal; tobacco
was used to excess; the gonorrhoea was healed; blood pressure was normal
and was increased (not decreased) by exertion. It should be noted that
the position of the palpable apex beat was normal for the position in which
the patient lay. ‘The attack is too long to be classed as “paroxysmal” tacky-
‘cardiac. There is no good evidence of infection or of cardiac dilatation. A
subjective “sense of well-being” such as is here present is not often seen in
‘organic heart lesions with tachycardia.
‘There is no evidence of passive congestion anywhere, for in a fat man slight
‘enema of the legs is physiological, especially with varicose veins such as
appear to be here present. Hence we have no considerable heart weakness.
‘Toxic extra-systole, due to the effect of an excess of tobacco (and perhaps
alcohol) on an otherwise healthy heart, seems the probable cause of the tachycardia in this case.
Prognosis: Such “functional”? upsets of a healthy heart are usually over within
‘a few weeks. The failure of the heart to slow down under rest is surprising
but need not discourage us.
‘Treatment: Possibly he is being kept too quiet. If his heart's power is fair
(as it seems to be) he will be the better for using it a little. ‘This will ease
the psychical tension and probably slow the heart. ‘The omission of all
tobacco and alcohol and the lapse of time are the most important means of
‘cure, but Nauheim baths and motions (carried out at home) will hasten
recovery."
"July 20, 1905, a girl of 16, previously healthy, was attacked in the","July 20, 1905, a girl of 16, previously healthy, was attacked in the
morning by pain in the sternum with a sense of pressure. Later the
pain extended round the chest and became severe on any movement
of the intercostal muscles—so that breathing was painful and shallow.
She felt feverish and nauseated, and in the evening her temperature
rose to 101°. She slept fairly well and next day her fever was gone
and she was almost well; walked, drove, and ate her meals with good
appetite. On the third day the pain and fever returned and both were
worse than before; the pain extended round both sides of the chest,
from the armpit to the bottom of the ribs, and also into both shoulders.
In the evening the temperature was 103°. Next day she remained in
bed feeling greatly improved, but still somewhat sore and aches. *
On the fifth day the pain came three or four hours earlier than in
the previous attack, and was agonizing in character. The temperature
reached 104° in the evening.
‘There was no chill, no sweating, and no cough at any time. Visceral
examination was negative — also the urine. The blood was not examined. Calomel was given on the fourth day, without relief.
1. (@) Causes of severe thoracic pain? (b) Of mild thoracic pain? (a) Pleurisy
(pneumonic, tuberculous, or “‘simple”’), angina pectoris (organic or functional), intercostal neuralgia, muscular pain (“‘pleurodynia”), spondylitis
(nerve-root_ pains), trichiniasis, aneurysm. (b) Infectious diseases, fatigue.
2. By what additional data could diagnosis be made easier here? A careful history with special reference to a possible source of infection; a thorough examination of the blood and of the spleen.
8. Diagnosis? Prognosis? Treatment?
Diagnosis: Paroxysms of fever recurring every second day with complete
pyrexia on the intervening days, almost never occurs except in malaria.
Pyogenic infections (including advanced phthisis) may in rare cases produce
such a fever curve, but in these conditions the patient is never as well on
the intervening days as this patient was, and usually shows well-marked local
lesions of some kind. ‘The pains of this case are very unusual for malaria,
but not unknown, and it is a safe rule to assume, until it is proved to the contrary, that any symptoms that recur every forty-eight hours, with fever, and
appear completely on the intervening days, leaving no physical signs of
are, are due to malaria. ‘The blood was not examined in this case
until after quinine had been given with complete and permanent relief of
all symptoms. After this no parasites were found in the blood. Abdominal
pain is not infrequently the only striking symptom of malaria, but thoracic
pain is rare.
Prognosis: Every case of tertian malaria can be completely arrested in a few
days by quinine. Cases resisting quinine for a week are not tertian malaria
—the only form seen in the northern part of this country.
‘Treatment: Morphia subcutaneously for pain, fever, or chill. Quinine gr. V
did. in capsule or solution for three days. ‘Then gr. III t.id. for a week."
"A Lithuanian teamster, 48, entered the hospital, April 22, 1904,","A Lithuanian teamster, 48, entered the hospital, April 22, 1904,
with the following history: Parents died of old age. He uses thirtyfive cents’ worth of tobacco a week, alcohol occasionally. He has
always been well until April 15, when he went to work feeling all right.
In the afternoon his neck began to pain him, he was chilly, then felt hot,
and sweat a good deal. Later his neck began to swell and became more
painful. His throat was sore, dry, and painful on swallowing. Two
days later he started to work, but had to give up and came to the hospital.
Physical examination showed a well-nourished man with slight
prostration. Slight conjunctivitis. Tongue protruded in median line.
‘Throat dry, red, with considerable dirty secretion on the walls of the
pharynx. Slight cyanosis of the face and finger-tips. Neck short,
thick, and reddened at the base with brawny induration, Redness
and induration extends down over the upper part of the chest. ‘Tenderness and swelling at the posterior edge of the sterno-cleido-mastoid
muscle at either side.
Inspection shows no enlargement of theveins of the upper chest or
of the arms, Percussion of the chest shows dullness over manubrium,
extending one finger’s breadth on either side. Lungs are apparently normal. Heart’s apex in fifth interspace nipple line. Right
border at right eternal edge. Sounds distant, no murmurs heard.
Pulse 120, regular, fair volume and tension. Abdomen full, tympanitic,
not tender. Liver and spleen not enlarged. Knee-jerks present, no
paralysis, no Kernig, no oedema, no general glandular enlargement.
Blood showed red cells 5,001,800, white cells 21,700, Hemoglobin 90%.
Differential count of 200 leukocytes showed: Polynuclears 78%, lymphocytes 22%, eosinophils 0. Urine normal, acid, sp. gr. 1021,
albumen slight trace, chlorides diminished. Sediment: numerous
hyaline and fine granular casts, with occasional cells adherent. Oceasional free mononuclear cells, rare blood corpuscle. Temperature 101.4°,
respiration 25.
April 24. Delirium for past two days requiring restraint. Quieter
this morning. Throat somewhat cleaner, less cyanosis and tenderness
in neck. Otherwise physical examination unchanged.
May 1. Temperature has ranged from 101.4° to 99.5° to-day. Pulse
from 120 to 100, respiration from 25 at entrance to 35 to-day.
May 2. Tumor at side of neck apparently increasing in size. Some
oedema over the neck, and the small veins of that region more prominent. Bronchial breathing over the right infrascapular region, with
a few rales just below the angle of the scapular. Some cough and

192 CASE 74—Continued
frothy sputum, Laryngoseopie report: “No oedema or paralysis of recurrent laryngeal, but some pressure oedema of left are-epiglottis fold.”
May 6. Considerable cough and expectoration. Some abdominal
pain; has lost considerable weight. Fever lower; cervical tutor decreasing.
Causes of substernal percussion dullness? Aneurism, enlarged bronchial glands
(tuberculosis, pseudoleucemia, sepsis, cancer, sarcoma), tutors of the thyroid or thymus gland, mediastinal abscess.
Significance of the lack of eosinophils here? Eosinophiles may disappear in
‘a severe type of any infection which causes leucocytosis, occasionally in
toxic conditions associated with leucocytosis, and in some severe ancmias.
‘Their reappearance is always a favorable sign.
How is the patient's delirium to be accounted for? Any severe infection may
produce delirium, though meningitis and pneumonia most often do so.
|. OF what diagnostic value is the fact that Kernig’s sign is absent? Kernig’s
is usually present in meningitis of any type. Its absence, therefore,
tends to exclude meningitis.
What further facts are needed for diagnosis in this ease? The sputum should
be examined for tubercle bacilli. No other data are essential, but a Widal
reaction might help to exclude typhoid, and a spinal puncture to exclude
meningitis.
Diagnosis? Prognosis? ‘Treatment?
Diagnosis: ‘The physical signs of disease are chiefly in the neck and upper thoracic
region. ‘Tuberculosis of the lung, meninges, and cervical glands would account,
for some of the signs, but would not be likely to produce so much pain and
local enema. ‘The sputa were negative for tubercle bacilli on repeated examination. Venous thrombosis would not explain the inflammatory reaction
in the neck and would cause more oedema and more enlargement of the superficial veins. ‘The same evidence is valid against mediastinal new growth or
abscess. Deep-seated inflammation in the neck (with or without pus) is
the most defensible diagnosis, —_Ludwig’s angina. The Widal reaction
was negative.
Prognosis: The cases usually run a severe course, and unless pus can be located,
and removed are often fatal within a fortnight. In this case, however, defervescence and improvement of all symptoms went on slowly but steadily after
May 6, and in a few weeks he was well — substantially without interference
other than good nursing.
‘Treatment: To find and remove pus when it is present, and tosupport the
end’s strength, are the main indications."
"Mrs. M., 51, is seen August 9, 1905. She has been in bed since","Mrs. M., 51, is seen August 9, 1905. She has been in bed since
July 4, suffering from “a complication of diseases,” and her medical
attendant has been changed several times.
She had nervous prostration fourteen years ago, and has never been
well since, but except for children’s diseases she has had no other definite
illness. She has had eight children—the last six years ago—and,
until recently, has done most of the housework for the whole family.
Her present illness began July 4 with diarrhoea, vomiting, fever, and
sweating. ‘These symptoms passed off in about three weeks, but there
have been suggestions of a return of them several times, and she has not
regained her full strength. Insomnia is a very troublesome symptom,
and in the long, wakeful hours she sometimes has spells of “weakness,” for which aromatic spirits of ammonia is taken with some relief.
‘There are also “smothering spells” when she feels as if she must get up
and walk, and is restrained only by the strict orders of her physician.
She has never been a hearty eater, but the appetite is now very fair.
There is no pain and the bowels move with the aid of laxatives.
Examination showed a stout, pale woman, with a temperature of
99°. ‘The size of the heart could not be exactly determined on account
of fat, but the sounds were normal and were loudest in their normal
sites. The peripheral arteries were normal. At the beginning of the
examination fine crackles were heard at the base of each axilla, but they
disappeared after a few deep breaths and were not heard again. Liver
dullness begins at the seventh rib, and the edge can be felt below the
ribs. Otherwise visceral examination is negative. Haemoglobin 90%.
Urine normal.
Diagnosis? Prognosis? Treatment?
Diagnosis: A feverish castro-enteritis five weeks ago; now weakness, insomnia,
and smothering spec, with desire to move about —such are the main complaints. In a woman of 51 these symptoms suggest arterio-sclerosis
or myocarditis, but the physical examination gives no support to these diagnoses,
and without physical signs one cannot make them. The crackles in the
lungs would have been significant had they persisted, but transient crackles
at base of the axilla have no pathological significance. The liver is low —
both the upper and the lower border
— but shows no evidence of enlargement, and simple ptosis, whether of the liver or of all the abdominal organs,
is not likely to explain the symptoms of this ease. ‘The main question is:
Has the woman any disease at all? Are not her weakness and insomnia the
result of staying in bed? This diagnosis was in fact verified by the results
of getting up and to work. In a few weeks the woman was perfectly well.
Prognosis and Treatment: The reassurance that one can give after convincing
himself by a thorough examination that the organs are sound is the most.
important medicine for such a case. The stimulus of work and exercise,
with the increased appetite and sleep resulting, will usually complete the cure."
"Mr. V., a theatre usher of 47, unmarried, lost his voice six months","Mr. V., a theatre usher of 47, unmarried, lost his voice six months
ago. Since then it has gradually improved, until now he speaks quite
audibly. Otherwise he has been well and worked steadily and hard,—
though occasionally he has felt an ache between his shoulders for one
half a day or so. On one occasion, three months ago, this pain occurred
while he was walking and almost took his breath away fora few minutes.
Since this time there has been no pain. Insomnia has troubled him for
many years, and he gets little sleep after 4 a.a. He admits that he
is of nervous temperament, and has been considerably worried. There
has been no cough, no emaciation, and, so far as he knows, no fever.
Appetite good, bowels regular. His regular weight is 158.
Examination shows a healthy-looking man with no fever. Weight
160. The heart’s apex in the fifth space, three-quarters of an inch outside the nipple. The heart sounds are clear — the aortic second loud,
low-pitched, and easily palpable. The pupils are equal and react normally. ‘The pulses equal and synchronous. Bronchials slightly tortuous and have lateral excursion. No thrill or abnormal dullness in
the front of the chest.
At the left apex behind, there is dullness, increased voice and fremitus, and whistling breathing (stridor). In the right side of the neck is
a mass the size of a goose’s egg; its lower portion is hard and seems
connected with the clavicle. Above, it pulsates strongly. ‘The whole is
smooth and not tender. Laryngoscopic examination shows the left
vocal cord in the cadaveric position. ‘The blood and urine are normal
and visceral examination is negative, except for the deviations noted.
1. Causes of accentuated aortic second sound? Increased peripheral resistance
due to arterio-sclerosis, nephritis with high tension pulse, severe muscular
exertion, aneurysm.
2. Causes of hoarseness or aphonia? Laryngitis (‘‘simple”” or tuberculous), syphilis,
laryngeal tutors, paralysis of a vocal cord or partial paralysis of both, hysteria.
3. What is the cervical tutor? It was at first diagnosed as aneurysm (of the carotid
or subclavian), but proved to be a cervical rib crossed by the subclavian.
4, Diagnosis? Prognosis? Treatment?
Diagnosis: The important signs are: paralysis of the left vocal cord, arteriosclerosis with resulting cardiac hypertrophy, solidification and stridor at the
apex of the left lung. An X-ray plate of the chest showed a large aneurysm
of the aortic arch. ‘The puzzling things in the case were (a) the pulsating
tutor in the right neck, which one tried naturally but unsuccessfully to associate with the paralysis of the /cut vocal cord, and (b) the absence of any signs
of aneurysm except the paralysed vocal cord.
Prognosis: Most cases of aortic aneurysm progress and kill, despite treatment,
within two years. A few remain quiescent or even wholly latent for many
years.
‘Treatment: Several weeks of rest in bed with light diet and KT gr. x-xx did.
serves to improve the symptoms and lengthen the course of some cases.
al"
"Called to see a young girl of 21, single, who is said to have had,","Called to see a young girl of 21, single, who is said to have had,
twelve hours before, a large pulmonary haemorrhage,
—a pint, after a
few days’ cough. Previously well, but nervous; easily startled and
frequently troubled with food “going the wrong way,” and causing
symptoms of temporary spasm of the glottis.
When seen, could only speak in a whisper; throat examination was
impossible on account of gagging. Lungs entirely negative, except
slight dullness and prolonged expiration at right apex. Heart somewhat rapid; systolic murmur at base of the heart, loudest in pulmonary
area. At the root of the neck, in front, a swelling size of a hen’s egg,
smooth, soft, not tender. Abdomen negative. Face very pale, lips
less so. Slight oedema of ankles.
Urine pale, acid 1018; albumen, slightest possible trace; 1% of
sugar; amount, 24 quarts. Sediment, mostly squamous and neck of
bladder cells. Few small hyaline casts.
Blood: Reds 4,800,000; whites 10,000; Hg. 60%.
1. What further informationis needed about the haemorrhage here? Did any one
see the blood come up? She may be a malingerer. Was the blood mixed
with air or food?
2. If haemorrhage were due in this case to phthisis, what physical signs should one
expect to find twelve hours after? None. The earliest physical signs usually
appear months later.
3. What else may cause such haemorrhage? Gastric ulcer, esophageal varices in
cirrhosis, leaking aneurysm.
4. How is the oedema of the ankles to be accounted for? Probably anaemia; possibly nephritis
5. What other causes of oedema can you name? Cardiac weakness, obesity, neuri-
;, thrombosis, varicose veins, or other local causes of venous obstruction.
6. Significance of the lung signs in this ease? ‘They are physiological limits.
7. By what further methods of examination could their
nicely determined? Sputum examination after administration of KI. ‘Temperature records, tuberculin reaction.
8. Name three causes of systolic murmurs loudest in the pulmonary area. “Funetional” changes, aneurysm, pulmonary stenosis.
9. Can the neck tutor be connected in any way with the glottic spasm? Why
‘or why not? No, because the tutor is too small and too far from the glottis.
10. From the data given about the blood, what should one expect to find in the
stained blood-film? Small, pale red cells, not otherwise abnormal. Normal
leukocyte percentages.
11. What conclusions should be drawn from the urine in this ease? None that
are definite. ‘The causes of the albuminuria and of the glycosuria should be
sought.
12, Diagnosis? Prognosis? ‘Treatment?
Diagnosis: Goitre and tachycardia suggest Graves’ disease. We do not know
whether or not the eyes protruded or whether there was tremor. Pulmonary"
